"year","model","scenario","scenario_geography","variable","unit","carbon_tax"
2092,"GCAM 5.3+ NGFS","Delayed transition","Indonesia","Price|Carbon","US$2010/t CO2",0
2093,"GCAM 5.3+ NGFS","Delayed transition","Indonesia","Price|Carbon","US$2010/t CO2",0
2094,"GCAM 5.3+ NGFS","Delayed transition","Indonesia","Price|Carbon","US$2010/t CO2",0
2095,"GCAM 5.3+ NGFS","Delayed transition","Indonesia","Price|Carbon","US$2010/t CO2",0
2096,"GCAM 5.3+ NGFS","Delayed transition","Indonesia","Price|Carbon","US$2010/t CO2",0
2097,"GCAM 5.3+ NGFS","Delayed transition","Indonesia","Price|Carbon","US$2010/t CO2",0
2098,"GCAM 5.3+ NGFS","Delayed transition","Indonesia","Price|Carbon","US$2010/t CO2",0
2099,"GCAM 5.3+ NGFS","Delayed transition","Indonesia","Price|Carbon","US$2010/t CO2",0
2100,"GCAM 5.3+ NGFS","Delayed transition","Indonesia","Price|Carbon","US$2010/t CO2",0
2015,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",0
2016,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",0
2017,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",0
2018,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",0
2019,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",0
2020,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",0
2021,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",0
2022,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",0
2023,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",0
2024,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",0
2025,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",47.7891644334222
2026,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",48.8139629871396
2027,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",49.838761540857
2028,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",50.8635600945744
2029,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",51.8883586482918
2030,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",52.9131572020092
2031,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",54.2287273698852
2032,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",55.5442975377613
2033,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",56.8598677056373
2034,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",58.1754378735134
2035,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",59.4910080413894
2036,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",63.5061435693885
2037,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",67.5212790973877
2038,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",71.5364146253868
2039,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",75.551550153386
2040,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",79.5666856813851
2041,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",82.0671223888211
2042,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",84.5675590962572
2043,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",87.0679958036932
2044,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",89.5684325111292
2045,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",92.0688692185652
2046,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",94.347374184373
2047,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",96.6258791501807
2048,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",98.9043841159885
2049,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",101.182889081796
2050,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",103.461394047604
2051,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",104.287177968568
2052,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",105.112961889531
2053,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",105.938745810495
2054,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",106.764529731458
2055,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",107.590313652422
2056,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",110.221675000356
2057,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",112.853036348289
2058,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",115.484397696223
2059,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",118.115759044156
2060,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",120.74712039209
2061,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",121.521193366088
2062,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",122.295266340085
2063,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",123.069339314083
2064,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",123.84341228808
2065,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",124.617485262078
2066,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",127.622239055943
2067,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",130.626992849809
2068,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",133.631746643674
2069,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",136.63650043754
2070,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",139.641254231405
2071,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",142.193925101998
2072,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",144.746595972591
2073,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",147.299266843183
2074,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",149.851937713776
2075,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",152.404608584369
2076,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",153.364481403235
2077,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",154.324354222101
2078,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",155.284227040968
2079,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",156.244099859834
2080,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",157.2039726787
2081,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",158.469319753924
2082,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",159.734666829148
2083,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",161.000013904372
2084,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",162.265360979596
2085,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",163.53070805482
2086,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",164.703762647572
2087,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",165.876817240324
2088,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",167.049871833075
2089,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",168.222926425827
2090,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",169.395981018579
2091,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",170.382809321877
2092,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",171.369637625174
2093,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",172.356465928472
2094,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",173.343294231769
2095,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",174.330122535067
2096,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",178.061821300652
2097,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",181.793520066237
2098,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",185.525218831821
2099,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",189.256917597406
2100,"GCAM 5.3+ NGFS","NDC","Global","Price|Carbon","US$2010/t CO2",192.988616362991
2015,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0
2016,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0
2017,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0
2018,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0
2019,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0
2020,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0
2021,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0
2022,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0
2023,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0
2024,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0
2025,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",5
2026,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",8
2027,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",11
2028,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",14
2029,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",17
2030,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",20
2031,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",23
2032,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",26
2033,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",29
2034,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",32
2035,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",35
2036,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",29.3093133130164
2037,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",23.6186266260327
2038,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",17.9279399390491
2039,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",12.2372532520655
2040,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",6.54656656508182
2041,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",7.60454139932182
2042,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",8.66251623356181
2043,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",9.72049106780181
2044,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",10.7784659020418
2045,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",11.8364407362818
2046,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",14.3288978769164
2047,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",16.8213550175509
2048,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",19.3138121581855
2049,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",21.80626929882
2050,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",24.2987264394546
2051,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",21.5289759072273
2052,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",18.759225375
2053,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",15.9894748427728
2054,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",13.2197243105455
2055,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",10.4499737783182
2056,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",17.1269350471637
2057,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",23.8038963160091
2058,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",30.4808575848546
2059,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",37.1578188537
2060,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",43.8347801225455
2061,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",45.5568666763091
2062,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",47.2789532300727
2063,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",49.0010397838364
2064,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",50.7231263376
2065,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",52.4452128913636
2066,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",53.1848328185454
2067,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",53.9244527457272
2068,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",54.6640726729091
2069,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",55.4036926000909
2070,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",56.1433125272727
2071,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",57.4908347132182
2072,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",58.8383568991636
2073,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",60.1858790851091
2074,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",61.5334012710545
2075,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",62.880923457
2076,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",63.6268274662909
2077,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",64.3727314755818
2078,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",65.1186354848727
2079,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",65.8645394941636
2080,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",66.6104435034545
2081,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",68.3772627995999
2082,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",70.1440820957454
2083,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",71.9109013918909
2084,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",73.6777206880363
2085,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",75.4445399841818
2086,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",77.6116387736182
2087,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",79.7787375630545
2088,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",81.9458363524909
2089,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",84.1129351419273
2090,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",86.2800339313636
2091,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",85.0587721846363
2092,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",83.8375104379091
2093,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",82.6162486911818
2094,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",81.3949869444545
2095,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",80.1737251977273
2096,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",78.0763301085273
2097,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",75.9789350193273
2098,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",73.8815399301273
2099,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",71.7841448409273
2100,"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",69.6867497517273
2015,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0
2016,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0
2017,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0
2018,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0
2019,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0
2020,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0
2021,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0
2022,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0
2023,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0
2024,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0
2025,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",2
2026,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",2.8
2027,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",3.6
2028,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",4.4
2029,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",5.2
2030,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",6
2031,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",6.8
2032,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",7.6
2033,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",8.4
2034,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",9.2
2035,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",10
2036,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",10.953248429297
2037,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",11.9064968585939
2038,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",12.8597452878909
2039,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",13.8129937171879
2040,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",14.7662421464849
2041,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",15.7194905757818
2042,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",16.6727390050788
2043,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",17.6259874343758
2044,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",18.5792358636728
2045,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",19.5324842929697
2046,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",20.4857327222667
2047,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",21.4389811515637
2048,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",22.3922295808607
2049,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",23.3454780101576
2050,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",24.2987264394546
2051,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",21.5289759072273
2052,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",18.759225375
2053,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",15.9894748427728
2054,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",13.2197243105455
2055,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",10.4499737783182
2056,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",17.1269350471637
2057,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",23.8038963160091
2058,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",30.4808575848546
2059,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",37.1578188537
2060,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",43.8347801225455
2061,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",45.5568666763091
2062,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",47.2789532300727
2063,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",49.0010397838364
2064,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",50.7231263376
2065,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",52.4452128913636
2066,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",53.1848328185454
2067,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",53.9244527457272
2068,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",54.6640726729091
2069,"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",55.4036926000909
